"CourseIdentifier","Subject","Number","Title","Credits","OrgUnitIdentifier","Type","Description","CIPCode"
"AIS3041","AIS","3041","HR IN ORGANIZATIONS",3,"AIS","Undergraduate","This course examines the nuances of individual andgroup behaviors within an organization. The foundational concepts in this course provide the framework for understanding the attitudes and actions of both individuals and groups as they interact within the organization and gives the basis for effective individual, group and process changes that will result in a more effective organization. The topics of organizational values,diversity, ethics, organizational culture, motivation, conflict, stress, internal/external customer, emotional control, individual/group decision-making and individual/organizational change are essential elements in the study of human relations in organizations. Students will engage in a variety of group case studies, self assessments and experiential learning exercises tofoster a greater understanding of how to apply thecourse concepts. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS3050","AIS","3050","LAW & ETHICS",3,"AIS","Undergraduate","The course focuses on the legal issues, the regulatory issues and the ethical issues common to organizations as they employ workers, compete in the marketplace, and produce goods and services, all in the context of a global environment. Relevant ethical behavior and theories will be studied. Emphasis will be placed on the employment relationship covering such topics as hiring, dismissal, wrongful discharge, employee rights, and the employer's duty to provide a safe workplace. Consumer protection and product liability will be studied. Pre-Requisite: To take this course you must: Be enrolled in one of the following Plans APA28-BTAS, APA34-BTAS.",30.9999
"AIS3070","AIS","3070","APPL WKPL WRITING",3,"AIS","Undergraduate","This course covers practical strategies necessary to produce effective writing in professional environments. You will explore the assumptions that govern writing in your field and practice the writing skills and styles applicable to communicating effectively in the workplace. - Prerequisite Definition: To take this course you must: Have taken the following Courses 28AIS301 min grade C-, or 34AIS301 min grade C-, or AIS3001 min grade C-. Be enrolled in one of these Programs 34BAC, 28BAC.",30.9999
"AIS3075","AIS","3075","APPL HR PRACTICES",3,"AIS","Undergraduate","This course explores the application of human resource fundamentals in a wide variety of organizational settings. Its purpose is to develop critical human resource competencies and knowledge necessary to be an effective manager. Topics addressed in this course include strategic human resource management in a changing environment, work analysis and design, planning, recruitment and selection, performance management and appraisal, training and development, compensation systems/benefits, labor relations and employee health and safety. This course utilizes experiential exercises and case studies that require the application of the human resource knowledge and competencies expected of a practicing manager. - Prerequisite Definition: To take this course you must: Be enrolled in one of these Programs 34BAC, 28BAC.",30.9999
"AIS3091","AIS","3091","APPLIED STATISTICS",3,"AIS","Undergraduate","Principles and techniques of collecting, analyzing, and interpreting quantitative data. Tabular and graphic presentation of data; measuresof central tendency and dispersion; probability theory and distributions; statistical inference including confidence intervals and hypothesis testing; analysis of variance; correlation techniques; and regression analysis. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4001","AIS","4001","TECH PROMISE PERILS",3,"AIS","Undergraduate","Technology has irreversibly changed our personal, professional, and economic lives. This course willview technology through a critical lens as it explores the potential benefits and challenges of the infusion of technology at home, at work, and in society at large. Areas of exploration include personal, business, and government implications ofdata collection, aggregation, analysis, and distribution; the impact of technology on innovation and creativity; economic implications of technology; and ways in which technology is influencing human interaction. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4012","AIS","4012","TRDS COMM TECH/BUS",3,"AIS","Undergraduate","This course examines the role of media technologies in society and culture as they affect current professional practices. Emphasis is on the technologies of the Information Age, including both social and cultural influences that have shaped the development of various new media, information, and communication technologies, as well the social and cultural impacts of these technologies. - Prerequisite Definition: To take this course you must: Be enrolled in one of these Programs 34BAC, 28BAC.",30.9999
"AIS4018","AIS","4018","PUBLIC IMAGES ORGS",3,"AIS","Undergraduate","Internal and external communication practices in businesses as related to mass media and public relations, organizational and strategic communication, identity, image, and risk management. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4032","AIS","4032","INTERPRSL CONN WKPL",3,"AIS","Undergraduate","This course examines and builds on major interpersonal theories and principles related to businesses, and helps students apply their theoretical knowledge to practical experiences in the workplace. Pre-Requisite: To take this course you must: Have taken the following Course AIS3070 min grade C-. Be enrolled in one of the following Plans APA28-BTAS, APA34-BTAS.",30.9999
"AIS4045","AIS","4045","APPL EMPLOYEE SPVSN",3,"AIS","Undergraduate","A study of the role of the supervisor. Identification and use of supervisory functions asapplied to leading, planning, organizing, communicating, counseling, motivating, and human skills are examined. This course will utilize a case study approach to emphasize the applied nature of these concepts. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4052","AIS","4052","APPL MEDIA METHODS",3,"AIS","Undergraduate","A survey of the commercial media industry and an introduction to the principles and process of creating mediated messages in an increasingly media-saturated world. Students are exposed to a theoretical and practical foundation in the intersecting worlds of message development, media production, and visual communication. The course also explores the wide range of distribution methods that are available through contemporary technology and the roles and responsibilities of the people that generate the content. Students are introduced to the development process, the software and hardware systems used during production, and their technical potential and constraints. A working understanding of the skill set, time, and budget necessary to effectively create and deliver media messages will be developed through examples and hands-on activities. - Prerequisite Definition: To take this course you must: Be enrolled in one of these Programs 34BAC, 28BAC.",30.9999
"AIS4063","AIS","4063","PRSN & SALES APPL",3,"AIS","Undergraduate","This course examines theories, principles, and practices of persuasion. The emphasis will be on persuasive messages for informal and formal settings, whether interpersonal, group, public, ormedia forums. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4070","AIS","4070","PUB & NON-PRO ADMIN",3,"AIS","Undergraduate","This course provides an overview of the administration of public and non-profit organizations. Topics include: current definitionsand terminology, core activities for supervision, public and non-profit organizational designs, decision-making and communication strategies, budgetary and funding aspects, including government and grant funding sources and strategies, and the use of commercial and social marketing for public and non-profit programs and organizations. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4075","AIS","4075","DIVERS PROF SETTING",3,"AIS","Undergraduate","Students will understand basic gender and diversity theories. The course will examine the effects of gender and diversity in the workplace and how to balance these issues. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4081","AIS","4081","LDRSHIP THRY & PRAC",3,"AIS","Undergraduate","Critical review of major leadership theories through evaluation of empirical research while providing pragmatic applications of skills required for effective day-to-day management in organizations; case studies will be utilized to analyze behavioral processes. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4085","AIS","4085","GLOBAL CHALLENGES",3,"AIS","Undergraduate","This course addresses seven major challenges of the 21st Century -- population, resources, communication, technology, economics, governance and conflict -- with an emphasis on how they will change our world in the coming years. The course will incorporate broad overviews as well as very specific examples and case studies, with a focus on helping students become more globally competentcitizens and leaders. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS4099","AIS","4099","SENIOR CAPSTONE",3,"AIS","Undergraduate","This course is the capstone course for the BTAS degree. It is designed to provide students the opportunity to integrate knowledge and skills acquired in the communication and management courses to the recurring phenomenon of organizational change in the real world. By working on a capstone project that draws on prior coursework and a series of case projects, studentsutilize their critical thinking skills in synthesizing previous coursework to extend and develop their ability to manage change. Pre-Requisite: To take this course you must: Have taken the following Course AIS4032 min grade C-. Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"ALH1005","ALH","1005","HEALTH CARE EDGE",1,"ALH","Undergraduate","This first year experience course is an introduction to topics central to the health care professional including the role of the health careprofessional in the modern health care system. General medical/legal and ethical issues are also addressed. Topics such as critical thinking, cultural competence, communication skills, time management, employability attributes, patient-centered principles, learning skills, and medical literature searches.",51.9999
"ALH1006C","ALH","1006C","CPR AND FIRST AID",1,"ALH","Undergraduate","This basic life support course provides training for the knowledge and skills of Cardiopulmonary resuscitation and First Aid including the use of the Automated External Defibrillator. Topics include bleeding control, shock management, splinting, spinal immobilization, bloodborne pathogens, scene safety, proper communication withEMS officials and documentation of emergency events. Medical emergencies with breathing issues,seizures, allergic reactions, poisoning, cold and hot emergencies and environmental issues are also covered.",51.0904
"ALH1007C","ALH","1007C","BASIC EKG",3,"ALH","Undergraduate","A course to prepare students for entry level cardiology technician skills. Topics include anatomy and physiology of the heart, electrocardiograph operation and trouble shooting,cardiac diseases, basic cardiac rhythms and the role of the cardiology technician. Lecture and Lab.",51.0901
"ALH1010C","ALH","1010C","CERT NURS AID TRAIN",4,"ALH","Undergraduate","This course will introduce students to the principles and procedures of basic patient care for individuals in long term care facilities. Corecompetencies of the course will include an overview of resident rights, assisting the resident to attain and maintain functional independence, observation and documentation skillsneeded in support of the assessment of long-term care residents' health and well-being, and the communication required for support of residents' physical, emotional, social and mental health needs.",51.9999
"ALH1015C","ALH","1015C","HUMAN DISEASE",2,"ALH","Undergraduate","This course will provide students with an overviewof current medical information on common clinical disorders encountered in health care. Topics include principles of diseases of the various organ systems. Pre-Requisite: To take this course you must: Have taken the following Courses 34BIOL171 min grade C-,34OATN143 min grade C-, or BIOL1015 min grade C-,HCMT1001 min grade C-.",26.0507
"ALH1020C","ALH","1020C","FUND PHLEBOTOMY",3,"ALH","Undergraduate","This course prepares the student for entry level phlebotomy skills. Emphasis is on the basic clinical methods of phlebotomy, hematology, venipuncture and microcollection procedures. Also introduced are the guidelines for processing and conducting special testing procedures. Lecture andlab.",51.1001
"ALH1022C","ALH","1022C","INTRO PHARM TECH",4,"ALH","Undergraduate","This course will provide students with the basic knowledge and skills needed to assist the licensedpharmacist in the performance of routine pharmacy activities and of promotion of high quality pharmaceutical care and safe medication use. The course study provides a means of preparation for the national certification exam to become a Pharmacy Technician.",51.0805
"ALH1023C","ALH","1023C","FUND SPLINT CAST",3,"ALH","Undergraduate","This course is designed to provide students with casting and splinting techniques through hands-on instruction and application. Other topics include musculoskeletal anatomy, medical terminology, and medical record documentation of care for the orthopedic patient, and proper aseptic technique.",51.0899
"ALH2071","ALH","2071","PATHOPHYS HLTH PROF",3,"ALH","Undergraduate","A survey of pathology and pathophysiological processes with emphasis on applications for patient care. - Prerequisite Definition: To take this course you must: Have taken the following Courses 15BIOL201 min grade C-,15BIOL202 min grade C-, or 28BIOL201 min grade C-,28BIOL202 min grade C-, or 34BIOL201 min grade C-,34BIOL202 min grade C-, or BIOL2002C min grade C-.",51.9999
"ARTH1001","ARTH","1001","HIST ART I",3,"ARTH","Undergraduate","This is the first of the two-semester survey of world art. It covers movements, monuments, and figures in art and architecture between ca. 25,000B.C. & ca. 1300. Students will learn to appreciateand analyze the formal qualities of the important works of art and architecture. They will also learn to investigate how these creations reflect contemporary social, political, religious, and philosophical contexts.",50.0703
"ARTH1002","ARTH","1002","HIST ART II",3,"ARTH","Undergraduate","This is the second of the two-semester survey of world art. It covers movements, monuments, and figures in art and architecture from the 14th century to the 21st century. Students will learn to appreciate and analyze the formal qualities of the important works of art and architecture. They will also learn to investigate how these creationsreflect contemporary social, political, religious,and philosophical contexts.",50.0703
"ARTH1083","ARTH","1083","WOMENART",3,"ARTH","Undergraduate","This course will explore the roles women have played in art as subject and as artist to create an understanding and appreciation for the roles women have played within the visual arts from the Renaissance to the present. Students should gain a broader understanding of painting, sculpture, photography, multi-media and other relevant artworks associated with women throughout Western civilization. Contemporary art will be examined, which will include female artists in non-Western cultures and the role of Feminism in post-modern art. In addition to the textbook, supplemental reading and films will be presented.",50.0703
"ASL1001","ASL","1001","BEGINNING ASL I",3,"ASL","Undergraduate","The first course of beginning level series in the visual, gestural language of American Sign Language (ASL). This course is designed to offer an overview of linguistic, cultural, and sociolinguistic information regarding ASL while developing communication skills, both receptive and expressive. An understanding of culture and identity of the deaf community will be incorporated into this course both face-to-face and through technology. This course will be conducted with minimal voicing and/or interpretation.",16.1601
"ASL1002","ASL","1002","BEGINNING ASL II",3,"ASL","Undergraduate","The second course in the beginning level series inthe visual, gestural language of American Sign Language (ASL). This course is designed to offer continued exploration of linguistic, cultural, andsociolinguistic information regarding ASL while further developing communication skills, both receptive and expressive. The course will develop students' understanding of culture and identity ofthe deaf community both face-to-face and technology. This course will be conducted with minimal voicing and/or interpretation. Pre-Requisite: To take this course you must: Have taken the following Courses 18ASL192 min grade C-, or 18SPED192 min grade C-, or 28ASL192 min grade C-, or 34ASL102 min grade C-, or ASL1001 min grade C-, or ASL1992 min grade C-.",16.1601
"ASL2001","ASL","2001","INTERMEDIATE ASL I",3,"ASL","Undergraduate","The first course in the intermediate level series in the visual, gestural language of American Sign Language (ASL). This course seeks to deepen students' grammatical competency on all linguisticlevels: sign formation, vocabulary, morphology, syntax, and discourse. Emphasis will be placed upon improving students' receptive and productive abilities through exposure to connected discourse.Understanding of culture and identity of the deaf community will be incorporated into this course. This course will be conducted using minimal voicing and/or interpretation. Pre-Requisite: To take this course you must: Have taken the following Courses 18ASL193 min grade C-, or 18SPED193 min grade C-, or 28ASL103 min grade C-, or 28ASL193 min grade C-, or 34ASL103 min grade C-, or ASL1002 min grade C-, or ASL1992 min grade C-.",16.1601
"ASL2002","ASL","2002","INTERMEDIATE ASL II",3,"ASL","Undergraduate","The second course in the intermediate level seriesin the visual, gestural language of American Sign Language (ASL). This course seeks to deepen students' grammatical competency on all linguisticlevels: sign formation, vocabulary, morphology, syntax, and discourse. Emphasis will be placed upon improving students' receptive and productive abilities through exposure to connected discourse,including via technology in the classroom. Understanding of culture and identity of the deaf community will be incorporated into this course. This course will be conducted using minimal voicing and/or interpretation. Pre-Requisite: To take this course you must: Have taken the following Courses 18ASL292 min grade C-, or 18SPED292 min grade C-, or 28ASL202 min grade C-, or 28ASL292 min grade C-, or 34ASL202 min grade C-, or ASL2001 min grade C-.",16.1601
"ATH2080","ATH","2080","PHARM HLTH ED PROF",3,"ATH","Undergraduate","This course is an introduction to the basic principles of pharmacology as it relates to health education professionals. The purpose of this class is to develop a framework of knowledge for health education professionals on how drugs work, potential interactions, and the risks and benefits of over-the-counter, legend, and performance enhancement drugs. - By Permission Only",51.0913
"AVTN1000","AVTN","1000","INTRO TO AVIATION",1,"AVTN","Undergraduate","Introduction to aviation technology and its curricula. An overview of the aviation program, industry, and strategies for success both as a student and in the profession. Topics will includeprofessionalism, time management, effective study habits and techniques, commitment and goal-setting. Career opportunities will include aircraft manufacturing, airline operations, general aviation, air freight, charter, airport management and government service. Proper utilization of a variety of aviation resources, networking opportunities and resume building will also be studied.",49.0101
"AVTN2000","AVTN","2000","PRIVATE PILOT FLIGHT",3,"AVTN","Undergraduate","Aeronautical knowledge and flight experience required to obtain Federal Aviation Administration Private Pilot Certification. Aeronautical knowledge and flight proficiency include topics defined by Title 14 CFR Part 61, Subpart E (Private Pilots).",49.0102
"AVTN2001","AVTN","2001","PRIVATE LECTURE I",3,"AVTN","Undergraduate","This course is a study of the aeronautical knowledge areas and information required to operate as a Recreational Pilot in the aviation environment. Course study includes all areas of operation required for the Federal Aviation Administration Recreational Pilot Knowledge examination and practical test. This course includes elements related to VFR flight operations, regulations, system procedures, aerodynamics, and weather appropriate to the Recreational Pilot Certificate. This course is a prerequisite for Private Pilot Lecture II.",49.0102
"AVTN2002","AVTN","2002","PRIVATE LECTURE II",3,"AVTN","Undergraduate","This course continues learning in visual flight operations as required of a Private Pilot. The course will focus learning in areas used under cross-country navigation, ATC communications, radio navigation, and an introduction to basic attitude instrument flying (BAI). Students will complete the Federal Aviation Administration Knowledge Examination for the Private Pilot - Airplane during the study of this course with additional instruction in aircraft instrumentationand radio navigation. Students will be introduced to regulations and procedures governing InstrumentFlying Rules (IFR). Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN201 min grade C-, or AVTN2001 min grade C-.",49.0102
"AVTN2021","AVTN","2021","PILOT FLIGHT I",2,"AVTN","Undergraduate","In this course the student will begin the necessary dual flight instruction and solo flight time experience to qualify for the Federal Aviation Administration Recreational Pilot Certificate. Aircraft flight time and instruction is directed toward a student foundation in aircraft control and decision making skills necessary for solo flight. This introduction to basic aircraft control and safety procedures will lay the foundation for Pilot Flight II and future flight courses in the program.",49.0102
"AVTN2022","AVTN","2022","PILOT FLIGHT II",2,"AVTN","Undergraduate","This course is a continuation of Pilot Flight I. The student will complete all necessary dual and solo flight requirements to obtain his/her PrivatePilot Certificate. Aircraft flight time will be devoted to completing post-solo maneuvers in preparation for the Practical Exam. The student will continue training into Cross-Country flight operations and Air Traffic Control communications while working on dual and solo requirements to obtain the Private Pilot Certificate. At the completion of this course, the student will have passed the Private Pilot Practical Exam. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN221 min grade D-, or AVTN2021 min grade D-.",49.0102
"AVTN2071","AVTN","2071","METEOROLOGY",3,"AVTN","Undergraduate","This class will instill the foundation for basic weather theory. This will encompass the development of weather patterns around the world as well as localized weather phenomena. This course will allow the student to gain a better understanding of how weather develops and how it will affect pilots. This emphasis will focus on both the macro and micro aspects of weather and how it relates to aeronautical decision making. Aviation weather reporting and interpretation of weather products will also be key focal points during this course.",41.0399
"AVTN3001","AVTN","3001","COMM LECTURE I",3,"AVTN","Undergraduate","This course will include all aeronautical knowledge areas required for the Federal Aviation Administration Instrument Rating Knowledge examination. The course will expand student knowledge of Basic Attitude Instrument Flying (BAI), radio navigation, and federal regulations related to flight under instrument flight rules. In addition, this course will introduce and discuss Instrument Approach Procedures, Standard Instrument Departures, standard terminal arrival procedures, instrument cross-country operations and weather conditions specific to instrument flight. This course will also introduce aeronautical knowledge elements required for a Commercial Pilot certifcate. Advanced aerodynamicsand federal aviation regulations related to commercial flight will be introduced. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN203 min grade C-, or AVTN2002 min grade C-.",49.0102
"AVTN3002","AVTN","3002","COMM LECTURE II",3,"AVTN","Undergraduate","A continuation of Commercial Pilot Lecture I, thiscourse will include all aeronautical knowledge elements required of a Commercial Pilot. At the completion of this course, the student will be prepared for the Federal Aviation Administration Commercial Pilot knowledge examination and the fundamentals of instructing knowledge examination.In addition, the course will cover all aeronautical knowledge required for the CommercialPilot Multiengine add-on rating. This course will conclude the knowledge required for the Professional Pilot Program and serve as a capstonecourse integrating previous knowledge from all prior Aviation courses and implementing that knowledge into practical use in the aviation industry. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN301 min grade C-, or AVTN3001 min grade C-.",49.0102
"AVTN3021","AVTN","3021","COMM FLIGHT I",2,"AVTN","Undergraduate","This course is an introduction to Commercial and Instrument flight operations. During the course offlight training, the student will successfully complete stages 1 and 2 of the Commercial trainingcourse outline and stage 1 of the instrument rating training course outline. While initial training standards are established at the Private Pilot level, progress will be made towards improving all technical areas. This course will also expand students' skills under Basic Attitude Instrument Flight and serve as the foundation for future flight training towards the Instrument Rating in Commercial Flight II. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN223 min grade D-, or AVTN2022 min grade D-.",49.0102
"AVTN3022","AVTN","3022","COMM FLIGHT II",2,"AVTN","Undergraduate","As a continuation of Commercial Flight I, this course will complete the training required for theInstrument Rating. This course will expand the student's knowledge of the instrument system and instrument flight operations including instrument approach procedures and cross-country requirements. This course will expose students to flight under actual and/or simulated Instrument Meteorological Conditions and the requirements to safely operate in that environment. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN224 min grade D-, or AVTN3021 min grade D-.",49.0102
"AVTN3023","AVTN","3023","COMM FLIGHT III",2,"AVTN","Undergraduate","As a continuation of Commercial Flight I & II, thecourse will complete the Commercial Single & Multiengine certificates. Building on knowledge and experience from Commercial Flight II, this course includes Commercial Pilot flight maneuvers,advanced instrument operations, international flight operations, and aeronautical decision making. This course also covers multiengine aerodynamics and emergency operations. This coursewill complete all knowledge & experience requirements to complete the Professional Pilot Training Program. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN321 min grade D-, or AVTN3022 min grade D-.",49.0102
"AVTN3071","AVTN","3071","AVIATION SAFETY",3,"AVTN","Undergraduate","This course is a overview of aviation safety and risk factors associated with air transportation. Accident statistics, National Transportation accident reports, case studies of pilot error, andhuman factors related to accidents will all be reviewed and analyzed. The study of the human bodyand its limitations, as they relate to pilot responsibilities, will be reviewed from the pilot's perspective. Additionally, cockpit organization and crew resource management trainingconcepts will be discussed with an emphasis on enhancing safety in the aircraft. This course aimsto reduce the the risk of accidents and incidents caused by pilot error through safety management techniques. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN201 min grade C-, or AVTN2001 min grade C-.",49.0102
"AVTN3072","AVTN","3072","AIRCRAFT SYSTEMS",3,"AVTN","Undergraduate","This course will introduce the advanced systems ofhigh performance piston powered aircraft and turbine powered aircraft. This overview will coverall advanced systems to include engine operating principles of piston engines, pressurization systems, hydraulic systems, environmental systems,constant speed propellers, and turbine powered engines. In addition, this course will cover operational principles for a pilot operating theseadvanced aircraft and how to diagnose common operational maintenance problems. Pre-Requisite: To take this course you must: Have taken the following Courses 34AVTN203 min grade C-, or AVTN2002 min grade C-.",49.0102
"BA1050","BA","1050","SOCIAL MEDIA",3,"BA","Undergraduate","This course will enhance students' knowledge and expertise in the envolving world of social media. Students will learn practical, how-to-do techniques to integrate social media into businessstrategy. The course will also review information security, privacy and ethics in social media.",9.0101
